identificador,hashtag
1496266051285397505,agéndateconascun
1496266051285397505,ascun
1496266445600268289,milicocagón
1496266445600268289,votasi
1496266445600268289,apagálaluc
1496266445600268289,elegitvciudad
1496266456601878530,votasí
1496266445600268289,milicocagón
1496266445600268289,votasi
1496266445600268289,apagálaluc
1496266445600268289,elegitvciudad
1496266439874990080,votasi
1496266439874990080,votanoderogar
1496266387601657856,votasi
1496266715717640195,debateluc
1496266715717640195,votasi
1496266610990268416,tvciudad
1496266610990268416,votasi
1496266749741871106,judicial
1496266749741871106,año
1496266749741871106,trágica
1496266749741871106,muerte
1496266749741871106,estudiante
1496266749741871106,medicina
1496266749741871106,santander
1496266749741871106,bucaramanga
1496266749741871106,edificio
1496266749741871106,familia
1496266595123015680,circoconstituyente
1496266522079211523,copadelaliga
1496266522079211523,futbol
1496266522079211523,union
1496266522079211523,atleticotucuman
1496266522079211523,copadelaliga
1496266522079211523,ellitoral
1496266595123015680,circoconstituyente
1496266901621780480,debateluc
1496266901621780480,votási
1496266901340790789,video
1496266901340790789,everton
1496266901340790789,monagas
1496266901340790789,libertadoresxespn
1496267113472086016,debateluc
1496267113472086016,debatextvciudad
1496267113472086016,votasi
1496267050003668992,enemigosdemendoza
1496267113472086016,debateluc
1496267113472086016,debatextvciudad
1496267113472086016,votasi
1496267113472086016,debateluc
1496267113472086016,debatextvciudad
1496267113472086016,votasi
1496267467232010245,ayusodimision
1496267467232010245,objetivoegea
1496267461104177159,video
1496267461104177159,libertadoresxespn
1496267342615281664,frentefrío
1496267342615281664,lluvias
1496267342615281664,coahuila
1496267342615281664,texas
1496267342615281664,acuña
1496267342615281664,delrio
1496267342615281664,piedrasnegras
1496267342615281664,eaglepass
1496267312214814720,libertadores
1496267756064419842,yomerebelo23f
1496267747168301061,yonomasdigo
1496267738909753348,secret22f
1496267651399798784,rechazodesalida
1496267538329739264,quépasaen
1496267538329739264,lannegan
1496267538329739264,referencia
1496267538329739264,rock
1496267538329739264,voces
1496267538329739264,elnacionalrd
1496267549021032448,andrade
1496267549021032448,votasi
1496267549021032448,debateluc
1496267549021032448,andrade
1496267549021032448,votasi
1496267549021032448,debateluc
1496267910444163079,envideo
1496267776406831109,union
1496267767430975491,harleydavidson
1496267767430975491,harleydavidson
