usuario,cantidad
@cancilleriaarg,2
@anniefemmas,2
@21_nacional,1
@frcoello,1
@santumaratea,1
@ofefernandez_,1
@m_ebrard,1
@mario_delgado,1
@lopezobrador,1
@cta_rfef,1
@renatazarazuaof,1
@kikem15,1
@diegordaz,1
@jvillastein,2
@congresoperu,2
@accionpopular,1
@accionpopularpe,1
@aletabilo_tenis,1
@renzolii,1
@chile_open,1
@marcelslamo,5
@emiliarioss,3
@arenaoficial,1
@carolinalosada,1
@hidrocentro2011,1
@diegolugano,4
@pdasilve,3
@bancopacificoec,1
@bancoguayaquil,1
@horaciorlarreta,1
@5noticiasuy,6
@lauraraffo,8
@clubamerica,1
@eazcarraga,1
@pce_uruguay,5
@valentiesteban,14
@saprissaoficial,1
@kiketo101,1
@iesafifalatam,1
@leandrouretaok,4
@rodrigochavesr,1
@orsiyamandu,7
@adrianbatllista,2
@argentina,1
@uis,1
@alcaldiagye,1
@metroviagye,1
@cynthiaviteri6,1
@defensoriaec,1
@manini_rios1973,3
@dmvasco,1
@edesurrd,1
@mariafdacabal,1
@charoguerra,1
@paolaholguin,1
@soyconservador,1
@julietdelrio,1
@inaimexico,1
@agaviriau,3
@sutelpitcnt,4
@jcalveloluisi,1
@pcdechile,1
@pschile,1
@zintv_uruguay,1
@somosnosarg,1
@libertadavanza_,1
@cologutierreza,1
@pldenlinea,1
@luisabinader,1
@frente_nremx,1
@detodoelmundo33,1
@_astorismo,6
@monaresti,1
@biobio,1
@guisomaninirios,1
@mppcanelones,3
@melesiocuen,3
@rochamoya_,3
@lassoguillermo,1
@intratables,1
@martincandalaft,1
@feliciano_lopez,1
@barbiebolche,3
@salocinuy,3
@daniloastori,2
@celiarivasr,1
@jorgermarinm,1
@camara_menendez,1
@carlotastorey,1
@noemychel,1
@pedagogia01,1
@cruznucamendi,1
@juande_diosc,1
@lacha,1
@coalicionmulti,5
@alftuitea,1
@elosoleavy,1
@gustavosaenzok,1
@andrade,2
@mediospublicosu,5
@omarbula,1
@clubtalleresok,1
@cabrown_oficial,1
@jjurquiza,1
@davidcleans,1
@toroscelayacd,1
@sallelorier,1
@sanluis_qta,1
@clubmagallanes,1
@nadadeeso,1
@capitanna,1
@jazminbadia,1
@vorterix,1
@congresonl,1
@tecdemonterrey,1
@movciudadanomx,1
@ctpjugadores,1
@obc_futbol,1
@tenis_pinar,1
@anabeygarciav,1
@arlettemunozz,1
@iloyolavera,1
@igcabezadevaca,1
@jorgeinzunzapan,1
@josejoseantonio,1
@lisettelopezg,1
@ensenadaliz,1
@itdpmx,1
@fia,1
@oncecaldas,3
@deporpasto,3
@arturoelias,1
@diputadospan,1
@henryjimenezp,1
@ejalvarezg,1
@yelacarol,1
@franciamarquezm,1
@cesarhdznoti,1
@mirnaschindler,1
@canal4_uy,2
@canal10uruguay,2
@teledoce,2
@atoficial,1
@clubaunion,1
@ruben_ledesma05,1
@sofapavon,1
@bts_bighit,1
@antiprogrevzla,1
@andrasearles,1
@oscarpime,1
@edelamadrid,1
