usuario,cantidad
maluradio,0
elnacionalrd,0
grdpolitica,0
ximenam88659330,0
millosfcoficial,0
iaufeydoii,0
gosankyo2,0
espnperu,0
ederlin0417,0
eric_huerta91,0
mariana94964448,0
milovanuc101,0
negrojoao,0
jonhatantiempo,0
pausadelfutbol2,0
besttannie_stan,0
nachomaturana,0
cesaralvca,0
melisarmiento00,0
carlossontag,0
flopina06,0
yandigiandinoto,0
raulcampin,0
samueldavidsos7,0
mrempanadas6,0
ariasoso1994,0
genesisvelard15,0
espnuruguay,1
pmorosi,0
wildhorscs,0
texasenespanol,0
jorgema25783541,0
gabrielmichi,0
cdmanchegocreal,0
va1_ga,0
p_aguilarte,0
diarioelfrente,4
vvkimvante,0
juanmnav,0
perezomar23,0
leomartinezuy,0
marchitacon,0
jordidels,0
elvengadorano16,1
donpelonette,0
ellitoral,0
argorok_x,0
rolineston,1
mendozarj_,0
atalivalapro,0
laurogzzf,0
metapoliticamx,0
dianalau56,0
wilsonc55756717,0
joselozada1260,0
emiliagallegos,0
andres_panza,0
newsnutricion,0
dani3lleramii,0
rcavada,0
yuugenly,0
eldeportivolt,1
ascunoficial,0
araujo0508,0
frankraul95,0
marsol1985,0
bravohengst,0
wonie_ojitos,0
i93tinygloss,0
musicacopyleft,0
raulbolivariano,0
elevenstorm1,0
moonlightlna,0
pachy0210,0
negrocortes_cco,0
lavozcomar,0
dogkiller59,0
rubenbarcena,0
chicobajolaluna,0
_fraanponce,0
faviles15_,0
samycastellano,0
ancientshaft,0
infoplatensetw,0
pshr0ckst4r,0
_queenxfsea,0
karina4297,0
jhontownii,0
pjmclvly,0
thepolycrafter,0
ale_aguilar10,0
pieriii65,0
rumboaprimeracl,0
violebull,0
georgieaim95,0
alejandro48__,0
eduquesada1,0
ytsabalero,0
yorunodarkness,0
jorgeashmidt,0
javierwot,0
octaviovicenci1,0
amiplinpicolina,0
capespanol,0
chuckdebroder,0
g8nw8ggsqb,0
aldoaversa,0
jqnrivera1,0
ariadna76883183,0
pcaparros,0
telefuturo,1
cipaf_rd,0
edicicor2009,0
alonsoen78,0
mmiissttoonn,0
fansmlbspain,0
pasionpaisve,0
ciudadano_2014,0
marita_molina4,0
diana202412,0
slxyangel,0
acodetticf,1
juanordorica,0
isaserey,0
noedunn,0
paulaquiroga5,0
octaviolacroix,0
acryingvirgo,0
petro_vi,0
marielclvr,0
_kitsuno,0
evertonsadp,0
cuestion_p,0
aaxsala,0
rubenll_02,0
elportal24,0
jimartinez04,0
cesip_ocde2021,0
diazdelavega1,0
taufer3,0
marcodigovinci,0
martinmaria18,0
shorshramone,0
universo970py,0
grupoeldeber,1
gcfortkyo,0
ucranianoartem,0
olivanoticias,0
yellowsulli,0
yamelases,0
yourmaingoddess,0
