identificador,dia,hora,user,textoidentificador,dia,hora,user,texto
1496270638599876621,2022-02-22,20:48:14,oandradelallana,'Es hoy a las 21:00 hs 🟣  El debate se transmite por canales, portales y radios y de todo el país. Contará con intérprete de LSU.  Acompañanos con #votasi #DebateLUC ✌️  https://t.co/XPhFHjBS2F'
1496271398624501761,2022-02-22,20:51:15,sison1959,'@AguerreEduardo Hoy  un cubano disfrazdo de uruguayo que milita en el partido comunista disfrazado de frente amplio y que no paga la contribución de canelones por qué es pobre ,debate con un demócrata republicano y  nieto de orientales .  https://t.co/kCL3oL5oxJ'
1496270620841193476,2022-02-22,20:48:10,ladiaria,'Seguí la transmisión en vivo del debate entre Óscar Andrade y Guido Manini Ríos por el referéndum sobre la LUC  https://t.co/L5OXL4mqFc'
1496268561270116354,2022-02-22,20:39:58,renovainfouy,'🗳 Vivi el debate entre Oscar Andrade (#VotaSi) y Guido Manini (#VotaNOderogar) por Renovación Informativa.  https://t.co/tVi77GaieL'
1496271228918714369,2022-02-22,20:50:35,sebagardener,'@LuisLacallePou fué a Dubái para promocionar al Frente Amplio...quién lo diría 🤣🤣🤣.'
1496271616757710851,2022-02-22,20:52:07,ferchu1001,'Todo pronto!! en 8 minutos tendremos #DebateLuc #VotaSi  #VotaRosado  https://t.co/A35n9kchDv'
1496271170370473989,2022-02-22,20:50:21,fiscalhonorario,'@RobertoLRey descansen si pueden en Carnaval pero en Marzo a redoblar contra la campaña más sucia y mentirosa que se haya visto,sembrando odio de clase como propugna el PCU y ahora sumando al PIT-CNT a la Coalición Frente Amplio. NO GRANDE A LA FARSA Y LA MENTIRA! NO VOLVER A LA INSEGURIDAD'
1496258690214612992,2022-02-22,20:00:45,exnihilus,'#VotaSi #VotáSíUy #VotaRosado #LaLucNoEsUruguay #HuellaRosada #CadenaDeZurdos #CadenaRosa  https://t.co/2GZpTzs8Mc'
1496266534163034116,2022-02-22,20:31:55,elpaisuy,'Imágenes de la previa al debate por la Ley de Urgente Consideración, con Oscar Andrade y Guido Manini Ríos  https://t.co/vdaTBBy90o'
1496270592194277376,2022-02-22,20:48:03,paulino03555904,'@TVCIUDADuy @Oandradelallana @GuidoManiniRios @pilar_teijeiro @Tinchorgz @josemacaraballo @cabezamartini @Frente_Amplio @Cabildo_UY @perezanalaura @Chasquetti Está caída la página 😭😭😭😭😭'
1496264837978021891,2022-02-22,20:25:11,rialgi,'Primer Debate Nacional desde el interior del País. Debaten los artículos de la LUC, los Senadores Oscar Andrade por el Frente Amplio y Guido Manini Ríos por Cabildo Abierto:  https://t.co/G9EDmUdPZN'
1496270344084152320,2022-02-22,20:47:04,renovainfouy,'Todo pronto para el comienzo del debate en apenas unos minutos.   📷: @Frente_Amplio  https://t.co/JYajdUHSk3'
1496270592194277376,2022-02-22,20:48:03,paulino03555904,'@TVCIUDADuy @Oandradelallana @GuidoManiniRios @pilar_teijeiro @Tinchorgz @josemacaraballo @cabezamartini @Frente_Amplio @Cabildo_UY @perezanalaura @Chasquetti Está caída la página 😭😭😭😭😭'
1496270651585449987,2022-02-22,20:48:17,robertolrey,'@VotaSiUy Sigan mintiendo que son la mejor propaganda a favor del NO.  https://t.co/6GSKMAQtS5'
1496262483392151553,2022-02-22,20:15:49,bigbo_politics,'‍‍‍🏃‍‍‍ «Óscar Andrade»  https://t.co/lPSew6vth3 ya no sigue a «Felipe Carballo» ﹫FelipeCarballo8 (🪦 Cuenta eliminada)'
1496270340032540683,2022-02-22,20:47:03,antoniooglio,'@ErnestoHuevada @AlCanelones @Frente_Amplio @MPP609 @PCU_FA @cintendentesuy @IdCanelones @carlosvarela02 @JuntaCanelones @DeLegislativo @LuisPera40 @ines_monzillo @FLegnaniSilva @LuisLacallePou @ERafaelferrari @SenadoUy Todo dicho !!!!'
